TimeId,GT 1030,GTX 1050,GTX 1050Ti,GTX 1060,GTX 1070,GTX 1070Ti,GTX 1080,GTX 1080Ti,GT 710,GT 720,GT 730,GT 740,GTX 750,GTX 750Ti,GTX 760,GTX 770,GTX 780,GTX 780Ti,GTX 950,GTX 960,GTX 970,GTX 980,GTX 980Ti,GeForce Titan X,GTX 1060 3GB,GTX 1060 6GB,GTX 1650,RTX 2060,RTX 2070,RTX 2080,RTX 2080s,RTX 2080Ti
20131011,,,,,,,,,,,,,,,349.7520616,446.3837531,1114.173415,,,,,,,,199.99,284.99,174.99,329.99,636.62,880,878.95,1369
20131012,,,,,,,,,,,,,,,349.9845655,446.6804946,1124.161256,,,,,,,,199.99,289.99,174.99,329.99,636.62,889,869,1367.99
20131013,,,,,,,,,,,,,,,350.0599232,446.7766726,1124.403307,,,,,,,,199.99,294.99,174.99,329.99,636.62,858.99,869,1335.99
20131014,,,,,,,,,,,,,,,350.0599232,446.7766726,1094.963064,,,,,,,,199.99,299.97,174.99,329.99,553.62,878.95,868.95,1299.99
20131015,,,,,,,,,,,,,,,351.0067852,448.7319625,1097.924783,,,,,,,,199.99,304.95,174.99,329.99,640,878.95,867.9,1358.99
20131016,,,,,,,,,,,,,,,350.5205022,446.1427759,1081.599564,,,,,,,,199.99,301.95,174.99,329.99,629.99,869,860,1366.99
20131017,,,,,,,,,,,,,,,349.2856197,445.6533195,1082.542205,,,,,,,,199.99,298.95,174.99,329.99,623.71,869,850,1359.99
20131018,,,,,,,,,,,,,,,358.7301761,451.2281124,1094.955254,,,,,,,,199.99,296.94,174.99,329.99,620,869,850,1359.93
20131019,,,,,,,,,,,,,,,359.3873656,451.5892293,1096.9612,,,,,,,,199.99,294.93,174.99,378.99,620,868.95,850,1359.91
20131020,,,,,,,,,,,,,,,359.1508343,450.826794,1096.239233,,,,,,,,199.99,291.905,174.99,329.99,640,867.9,850,1359.13
20131021,,,,,,,,,,,,,,,358.4256364,451.7025047,1096.239233,,,,,,,,199.99,288.88,174.99,329.99,640,858.95,849.99,1359.99
20131022,,,,,,,,,,,,,,,358.5838278,449.9325723,1095.760948,,,,,,,,199.99,287.915,174.99,329.99,635,850,850,1318.99
20131023,,,,,,,,,,,,,,,360.8009406,452.5035941,1085.324957,,,,,,,,199.99,286.95,174.99,329.99,634.99,850,850,1318.99
20131024,,,,,,,,,,,,,,,361.3673658,448.9306251,1085.784415,,,,,,,,199.99,285.45,174.99,329.99,648.98,850,850,1370.99
20131025,,,,,,,,,,,,,,,350.0490149,440.7334281,1069.380204,,,,,,,,199.99,283.95,174.99,329.99,624.41,850,850,1318.99
20131026,,,,,,,,,,,,,,,345.6929795,439.0284283,1068.590862,,,,,,,,199.99,283.95,174.99,329.99,619.99,849.99,850,1318.99
20131027,,,,,,,,,,,,,,,345.8981881,439.2890423,1069.225194,,,,,,,,199.99,283.95,174.99,329.99,619,850,850,1318.99
20131028,,,,,,,,,,,,,,,357.8809318,387.4374461,904.3244176,,,,,,,,199.99,276.97,174.99,329.99,619,850,854.99,1318.98
20131029,,,,,,,,,,,,,,,359.5868213,384.5623423,903.4077588,,,,,,,,199.99,269.99,174.99,329.99,615.99,850,854.99,1318.99
20131030,,,,,,,,,,,,,,,358.4510188,381.596399,900.3470433,,,,,,,,199.99,269.985,164.99,329.99,613,850,854,1299.99
20131031,,,,,,,,,,,,,,,357.2121838,382.639821,887.0762347,,,,,,,,199.99,269.98,164.99,329.99,624.41,850,854,1299.99
20131101,,,,,,,,,,,,,,,352.5431559,377.2308236,875.481491,,,,,,,,199.99,269.99,164.99,329.99,597.99,854.99,849.96,1288.98
20131102,,,,,,,,,,,,,,,350.1578564,371.0704552,869.3569713,,,,,,,,199.99,270,164.99,329.99,549,854.99,849.98,1288.98
20131103,,,,,,,,,,,,,,,350.0563128,370.9628471,869.1048631,,,,,,,,199.99,274.975,164.99,329.99,549,854.99,849.98,1289.99
20131104,,,,,,,,,,,,,,,353.6171676,368.6294081,869.1048631,,,,,,,,199.99,279.95,164.99,329.99,529,854,846,1288.98
20131105,,,,,,,,,,,,,,,353.464236,374.6537115,870.7550102,,,,,,,,199.99,279.47,164.99,329.99,549,854,846,1288.98
20131106,,,,,,,,,,,,,,,350.2738093,363.6241168,868.0394178,,,,,,,,199.99,278.99,164.99,329.99,549,849.96,849.97,1288.98
20131107,,,,,,,,,,,,,,,350.9270383,365.917676,871.7705188,,,,,,,,199.99,275.99,164.99,329.99,549,849.98,849.98,1318
20131108,,,,,,,,,,,,,,,345.6508436,363.473005,862.7881037,,,,,,,,199.99,272.99,NaN,329.99,598,849.98,849.98,1288.98
20131109,,,,,,,,,,,,,,,342.1039977,362.5947061,860.7032561,,,,,,,,194.99,272.99,164.99,329.99,579.99,846,849.97,1288.98
20131110,,,,,,,,,,,,,,,339.9278171,362.8525598,861.3153322,,,,,,,,189.99,272.99,164.99,329.99,578.99,846,849.97,1287.34
20131111,,,,,,,,,,,,,,,339.9180421,362.9277554,861.4938264,,,,,,,,189.99,272.99,164.99,329.99,577,849.97,849.97,1275
20131112,,,,,,,,,,,,,,,340.9266114,364.000059,863.8800663,,,,,,,,189.99,272.99,164.99,329.99,559.99,849.98,849.97,1284.92
20131113,,,,,,,,,,,,,,,341.0012623,370.3972283,866.0999651,,,,,,,,184.99,272.99,164.99,329.99,558,849.98,849.97,1284
20131114,,,,,,,,,,,,,,,341.7300073,371.1887946,867.950885,,,,,,,,179.99,272.99,NaN,329.99,557.99,849.97,849.97,1283
20131115,,,,,,,,,,,,,,,353.9813474,391.3942292,877.8559644,,,,,,,,179.99,278.97,164.99,329.99,529,849.97,849.93,1283
20131116,,,,,,,,,,,,,,,354.3082066,370.3224415,878.6665588,,,,,,,,179.99,284.95,164.99,329.99,529,849.97,849.99,1290
20131117,,,,,,,,,,,,,,,354.7385753,374.0788728,879.7338516,,,,,,,,179.99,283.97,164.99,346.54,528,849.97,849.98,1290
20131118,,,,,,,,,,,,,,,354.7792753,374.1217917,879.8347855,,,,,,,,179.99,282.99,164.99,348.89,528,849.97,849,1280
20131119,,,,,,,,,,,,,,,342.6741999,375.2976058,881.264593,,,,,,,,179.99,282.99,164.99,348.42,524.99,849.97,848.98,1280
20131120,,,,,,,,,,,,,,,342.7556292,375.1735223,885.9447597,,,,,,,,179.99,282.99,164.99,348.62,524,849.93,843.98,1280
20131121,,,,,,,,,,,,,,,340.8273006,371.5278572,880.9256985,,,,,,,,174.44,283.97,164.99,399.94,524,849.93,840,1280
20131122,,,,,,,,,,,,,,,341.1987219,372.0881987,890.4063455,,,,,,,,168.89,284.95,NaN,357.98,524,849,838,1280
20131123,,,,,,,,,,,,,,,343.1132767,380.2131958,895.6148112,,,,,,,,168.89,316.47,NaN,429.99,524,849.98,834.99,1349
20131124,,,,,,,,,,,,,,,343.2096255,380.4101,896.0786307,,,,,,,,168.89,347.99,NaN,424.11,524,849,831.22,1349
20131125,,,,,,,,,,,,,,,343.1282833,379.9898322,896.0786307,,,,,,,,168.89,363.99,164.99,424.11,524,848.97,815.66,1349
20131126,,,,,,,,,,,,,,,341.5664025,374.4635816,892.246552,,,,,,,,168.89,379.99,164.99,399.22,523.99,843.93,815.92,1329
20131127,,,,,,,,,,,,,,,341.585353,375.0959091,896.0142501,,,,,,,,168.89,374.99,164.99,402.3,523.99,838,818.46,1328.99
20131128,,,,,,,,,,,,,,,347.7433919,378.0232363,896.6876672,,,,,,,,,369.99,164.99,419,523.99,835,814.99,1319.95
20131129,,,,,,,,,,,,,,,347.2879604,378.8558838,898.9853653,,,,,,,,,369.99,164.99,449.99,523.99,833,812.03,1319
20131130,,,,,,,,,,,,,,,346.9780167,378.716796,898.816663,,,,,,,,,369.99,,,523.99,830.99,809.93,1319
20131201,,,,,,,,,,,,,,,346.8379379,378.5639039,898.4538009,,,,,,,,,332.245,,,523.99,806.6,810,1319.95
20131202,,,,,,,,,,,,,,,345.9408027,378.4551602,898.4538009,,,,,,,,,294.5,,,523.99,819.99,819.99,1319.94
20131203,,,,,,,,,,,,,,,347.3418202,373.5069546,899.7364517,,,,,,,,,296.365,,,523.99,815.98,819.98,1319.94
20131204,,,,,,,,,,,,,,,348.7381811,378.0831236,885.4907829,,,,,,,,,298.23,,,523.99,810.98,819.97,1285
20131205,,,,,,,,,,,,,,,347.3629113,376.8567562,882.6185653,,,,,,,,,304.09,,,523.99,812,819.93,1285
20131206,,,,,,,,,,,,,,,350.001367,379.8835334,889.7394538,,,,,,,,,309.95,,,524,804.53,818.99,1317.99
20131207,,,,,,,,,,,,,,,349.9982881,380.5252166,891.4027459,,,,,,,,,309.705,,,524,810,818.99,1317.99
